20090113,3.07
20090114,3.07
20090115,3.06
20090116,3.06
20090119,3.06
20090120,3.06
20090121,3.06
20090122,3.06
20090123,3.06
20090202,3.06
20090203,3.06
20090204,3.06
20090205,3.06
20090206,3.06
20090209,3.06
20090210,3.06
20090211,3.06
20090212,3.06
20090213,3.06
20090216,3.06
20090217,3.06
20090218,3.06
20090219,3.06
20090220,3.05
20090223,3.05
20090224,3.05
20090225,3.05
20090226,3.05
20090227,3.05
20090302,3.05
20090303,3.05
20090304,3.05
20090305,3.05
20090306,3.05
20090309,3.05
20090310,3.05
20090311,3.05
20090312,3.05
20090313,3.05
20090316,3.05
20090317,3.05
20090318,3.05
20090319,3.05
20090320,3.05
20090323,3.04
20090324,3.04
20090325,3.04
20090326,3.04
20090327,3.04
20090330,3.04
20090331,3.04
20090401,3.04
20090402,3.04
20090403,3.04
20090407,3.04
20090408,3.04
20090409,3.04
20090410,3.04
20090413,3.04
20090414,3.04
20090415,3.04
20090416,3.04
20090417,3.04
20090420,3.04
20090421,3.04
20090422,3.04
20090423,3.04
20090424,3.04
20090427,3.04
20090428,3.04
20090429,3.04
20090430,3.04
20090504,3.04
20090505,3.04
20090506,3.03
20090507,3.03
20090508,3.03
20090511,3.03
20090512,3.03
20090513,3.03
20090514,3.04
20090515,3.04
20090518,3.04
20090519,3.04
20090520,3.04
20090521,3.04
20090522,3.04
20090525,3.04
20090526,3.04
20090527,3.04
20090601,3.04
20090602,3.04
20090603,3.04
20090604,3.04
20090605,3.04
20090608,3.04
20090609,3.04
20090610,3.04
20090611,3.04
20090612,3.04
20090615,3.04
20090616,3.04
20090617,3.04
20090618,3.04
20090619,3.04
20090622,3.04
20090623,3.04
20090624,3.04
20090625,3.04
20090626,3.04
20090629,3.04
20090630,3.04
20090701,3.05
20090702,3.05
20090703,3.05
20090706,3.05
20090707,3.05
20090708,3.05
20090709,3.05
20090710,3.05
20090713,3.05
20090714,3.05
20090715,3.05
20090716,3.05
20090717,3.06
20090720,3.06
20090721,3.06
20090722,3.06
20090723,3.06
20090724,3.06
20090727,3.06
20090728,3.06
20090729,3.06
20090730,3.06
20090731,3.07
20090803,3.07
20090804,3.07
20090805,3.07
20090806,3.07
20090807,3.07
20090810,3.07
20090811,3.07
20090812,3.07
20090813,3.08
20090814,3.08
20090817,3.08
20090818,3.08
20090819,3.08
